127.0.0.1 - - [22/Jan/2024:15:50:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:30 +0530] "GET /ClubCraft/ HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:30 +0530] "GET /ClubCraft/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:30 +0530] "GET /ClubCraft/app.js HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:33 +0530] "GET /ClubCraft/index.jsp HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:33 +0530] "GET /ClubCraft/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:33 +0530] "GET /ClubCraft/app.js HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:34 +0530] "GET /ClubCraft/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:37 +0530] "GET /ClubCraft/contact.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:50:40 +0530] "GET /ClubCraft/tournaments.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:19 +0530] "GET /ClubCraft/registration.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:55 +0530] "GET /ClubCraft/registration.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:52:57 +0530] "GET /ClubCraft/registration.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:02 +0530] "GET /ClubCraft/index.jsp HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:02 +0530] "GET /ClubCraft/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:02 +0530] "GET /ClubCraft/app.js HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:03 +0530] "GET /ClubCraft/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:05 +0530] "GET /ClubCraft/tournaments.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:53:07 +0530] "GET /ClubCraft/registration.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:50 +0530] "GET /ClubCraft/ HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:50 +0530] "GET /ClubCraft/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:50 +0530] "GET /ClubCraft/app.js HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:54:56 +0530] "GET /ClubCraft/registration.jsp HTTP/1.1" 500 2524
0:0:0:0:0:0:0:1 - - [22/Jan/2024:15:55:01 +0530] "GET /ClubCraft/tournaments.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:30:49 +0530] "GET /ClubCraft/about.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:30:52 +0530] "GET /ClubCraft/contact.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [22/Jan/2024:16:30:53 +0530] "GET /ClubCraft/styles.css HTTP/1.1" 404 775
